PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,0,22.0,1,0,7.25,missing,S
2,1,1,1,38.0,1,0,71.2833,C85,C
3,1,3,1,26.0,0,0,7.925,missing,S
4,1,1,1,35.0,1,0,53.1,C123,S
5,0,3,0,35.0,0,0,8.05,missing,S
6,0,3,0,29.7,0,0,8.4583,missing,Q
7,0,1,0,54.0,0,0,51.8625,E46,S
8,0,3,0,2.0,3,1,21.075,missing,S
9,1,3,1,27.0,0,2,11.1333,missing,S
10,1,2,1,14.0,1,0,30.0708,missing,C
11,1,3,1,4.0,1,1,16.7,G6,S
12,1,1,1,58.0,0,0,26.55,C103,S
13,0,3,0,20.0,0,0,8.05,missing,S
14,0,3,0,39.0,1,5,31.275,missing,S
15,0,3,1,14.0,0,0,7.8542,missing,S
16,1,2,1,55.0,0,0,16.0,missing,S
17,0,3,0,2.0,4,1,29.125,missing,Q
18,1,2,0,29.7,0,0,13.0,missing,S
19,0,3,1,31.0,1,0,18.0,missing,S
20,1,3,1,29.7,0,0,7.225,missing,C
21,0,2,0,35.0,0,0,26.0,missing,S
22,1,2,0,34.0,0,0,13.0,D56,S
23,1,3,1,15.0,0,0,8.0292,missing,Q
24,1,1,0,28.0,0,0,35.5,A6,S
25,0,3,1,8.0,3,1,21.075,missing,S
26,1,3,1,38.0,1,5,31.3875,missing,S
27,0,3,0,29.7,0,0,7.225,missing,C
28,0,1,0,19.0,3,2,263.0,C23 C25 C27,S
29,1,3,1,29.7,0,0,7.8792,missing,Q
30,0,3,0,29.7,0,0,7.8958,missing,S
31,0,1,0,40.0,0,0,27.7208,missing,C
32,1,1,1,29.7,1,0,146.5208,B78,C
33,1,3,1,29.7,0,0,7.75,missing,Q
34,0,2,0,66.0,0,0,10.5,missing,S
35,0,1,0,28.0,1,0,82.1708,missing,C
36,0,1,0,42.0,1,0,52.0,missing,S
37,1,3,0,29.7,0,0,7.2292,missing,C
38,0,3,0,21.0,0,0,8.05,missing,S
39,0,3,1,18.0,2,0,18.0,missing,S
40,1,3,1,14.0,1,0,11.2417,missing,C
41,0,3,1,40.0,1,0,9.475,missing,S
42,0,2,1,27.0,1,0,21.0,missing,S
43,0,3,0,29.7,0,0,7.8958,missing,C
44,1,2,1,3.0,1,2,41.5792,missing,C
45,1,3,1,19.0,0,0,7.8792,missing,Q
46,0,3,0,29.7,0,0,8.05,missing,S
47,0,3,0,29.7,1,0,15.5,missing,Q
48,1,3,1,29.7,0,0,7.75,missing,Q
49,0,3,0,29.7,2,0,21.6792,missing,C
50,0,3,1,18.0,1,0,17.8,missing,S
51,0,3,0,7.0,4,1,39.6875,missing,S
52,0,3,0,21.0,0,0,7.8,missing,S
53,1,1,1,49.0,1,0,76.7292,D33,C
54,1,2,1,29.0,1,0,26.0,missing,S
55,0,1,0,65.0,0,1,61.9792,B30,C
56,1,1,0,29.7,0,0,35.5,C52,S
57,1,2,1,21.0,0,0,10.5,missing,S
58,0,3,0,28.5,0,0,7.2292,missing,C
59,1,2,1,5.0,1,2,27.75,missing,S
60,0,3,0,11.0,5,2,46.9,missing,S
61,0,3,0,22.0,0,0,7.2292,missing,C
62,1,1,1,38.0,0,0,80.0,B28,
63,0,1,0,45.0,1,0,83.475,C83,S
64,0,3,0,4.0,3,2,27.9,missing,S
65,0,1,0,29.7,0,0,27.7208,missing,C
66,1,3,0,29.7,1,1,15.2458,missing,C
67,1,2,1,29.0,0,0,10.5,F33,S
68,0,3,0,19.0,0,0,8.1583,missing,S
69,1,3,1,17.0,4,2,7.925,missing,S
70,0,3,0,26.0,2,0,8.6625,missing,S
71,0,2,0,32.0,0,0,10.5,missing,S
72,0,3,1,16.0,5,2,46.9,missing,S
73,0,2,0,21.0,0,0,73.5,missing,S
74,0,3,0,26.0,1,0,14.4542,missing,C
75,1,3,0,32.0,0,0,56.4958,missing,S
76,0,3,0,25.0,0,0,7.65,F G73,S
77,0,3,0,29.7,0,0,7.8958,missing,S
78,0,3,0,29.7,0,0,8.05,missing,S
79,1,2,0,0.83,0,2,29.0,missing,S
80,1,3,1,30.0,0,0,12.475,missing,S
81,0,3,0,22.0,0,0,9.0,missing,S
82,1,3,0,29.0,0,0,9.5,missing,S
83,1,3,1,29.7,0,0,7.7875,missing,Q
84,0,1,0,28.0,0,0,47.1,missing,S
85,1,2,1,17.0,0,0,10.5,missing,S
86,1,3,1,33.0,3,0,15.85,missing,S
87,0,3,0,16.0,1,3,34.375,missing,S
88,0,3,0,29.7,0,0,8.05,missing,S
89,1,1,1,23.0,3,2,263.0,C23 C25 C27,S
90,0,3,0,24.0,0,0,8.05,missing,S
91,0,3,0,29.0,0,0,8.05,missing,S
92,0,3,0,20.0,0,0,7.8542,missing,S
93,0,1,0,46.0,1,0,61.175,E31,S
94,0,3,0,26.0,1,2,20.575,missing,S
95,0,3,0,59.0,0,0,7.25,missing,S
96,0,3,0,29.7,0,0,8.05,missing,S
97,0,1,0,71.0,0,0,34.6542,A5,C
98,1,1,0,23.0,0,1,63.3583,D10 D12,C
99,1,2,1,34.0,0,1,23.0,missing,S
100,0,2,0,34.0,1,0,26.0,missing,S
101,0,3,1,28.0,0,0,7.8958,missing,S
102,0,3,0,29.7,0,0,7.8958,missing,S
103,0,1,0,21.0,0,1,77.2875,D26,S
104,0,3,0,33.0,0,0,8.6542,missing,S
105,0,3,0,37.0,2,0,7.925,missing,S
106,0,3,0,28.0,0,0,7.8958,missing,S
107,1,3,1,21.0,0,0,7.65,missing,S
108,1,3,0,29.7,0,0,7.775,missing,S
109,0,3,0,38.0,0,0,7.8958,missing,S
110,1,3,1,29.7,1,0,24.15,missing,Q
111,0,1,0,47.0,0,0,52.0,C110,S
112,0,3,1,14.5,1,0,14.4542,missing,C
113,0,3,0,22.0,0,0,8.05,missing,S
114,0,3,1,20.0,1,0,9.825,missing,S
115,0,3,1,17.0,0,0,14.4583,missing,C
116,0,3,0,21.0,0,0,7.925,missing,S
117,0,3,0,70.5,0,0,7.75,missing,Q
118,0,2,0,29.0,1,0,21.0,missing,S
119,0,1,0,24.0,0,1,247.5208,B58 B60,C
120,0,3,1,2.0,4,2,31.275,missing,S
121,0,2,0,21.0,2,0,73.5,missing,S
122,0,3,0,29.7,0,0,8.05,missing,S
123,0,2,0,32.5,1,0,30.0708,missing,C
124,1,2,1,32.5,0,0,13.0,E101,S
125,0,1,0,54.0,0,1,77.2875,D26,S
126,1,3,0,12.0,1,0,11.2417,missing,C
127,0,3,0,29.7,0,0,7.75,missing,Q
128,1,3,0,24.0,0,0,7.1417,missing,S
129,1,3,1,29.7,1,1,22.3583,F E69,C
130,0,3,0,45.0,0,0,6.975,missing,S
131,0,3,0,33.0,0,0,7.8958,missing,C
132,0,3,0,20.0,0,0,7.05,missing,S
133,0,3,1,47.0,1,0,14.5,missing,S
134,1,2,1,29.0,1,0,26.0,missing,S
